rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,SGD,Stock is not in local warehouse,,263938,Samsung GALAXY Tab 4 7.0 SM-T231 ,,SG$289,,,,Samsung,,http://i2.expansys.com/img/b/263938/samsung-galaxy-tab-470-sm-t231.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,285784,Apple iPad Pro A1584 ,,,,,,Apple,,http://i1.expansys.com/img/b/285784/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,285791,Apple iPad Pro A1584 ,,"SG$1,314",,,,Apple,,http://i1.expansys.com/img/b/285791/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,SGD,In Stock Now,,285790,Apple iPad Pro A1584 ,,"SG$1,314",,,,Apple,,http://i1.expansys.com/img/b/285790/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,285854,Apple iPad Pro A1652 ,,"SG$1,569",,,,Apple,,http://i1.expansys.com/img/b/285854/apple-ipad-pro-a1652.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,285792,Apple iPad Pro A1584 ,,"SG$1,314",,,,Apple,,http://i1.expansys.com/img/b/285792/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,285788,Apple iPad Pro A1584 ,,,,,,Apple,,http://i2.expansys.com/img/b/285788/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,285789,Apple iPad Pro A1584 ,,,,,,Apple,,http://i2.expansys.com/img/b/285789/apple-ipad-pro-a1584.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,234535,Mobile Action Spare Soft Silicon Case for GT-600 Travel Logger,,SG$12,,,,Mobile Action,,http://i2.expansys.com/img/b/234535/mobile-action-spare-soft-silicon-case-for-gt-600-travel-logger.jpg,,,,,,,,,
,,,SGD,In Stock Now,,262568,Plantronics BackBeat Fit Wireless Headphones + Mic ,,SG$111,,,,Plantronics,,http://i2.expansys.com/img/b/262568/plantronics-backbeat-fit-wireless-headphones-mic.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,233949,Mobile Action Bike Mount ,,SG$7,,,,Mobile Action,,http://i2.expansys.com/img/b/233949/mobile-action-blike-mount-i-gotu-sports-travel-computer.jpg,,,,,,,,,
,,,SGD,In Stock Now,,199962,Parrot Motor Set for AR.Drone 2.0 ,,SG$69,,,,Parrot,,http://i1.expansys.com/img/b/199962/parrot-motor.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,235310,Mobile Action i-gotU GT-820Pro GPS Bike & Travel Computer ,,SG$162,,,,Mobile Action,,http://i1.expansys.com/img/b/235310/mobile-action-i-gotu-gt-820pro-hrm-gps-bike-travel-computer.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,251730,Bose SoundLink Mini II/Mini Soft Cover ,,SG$53,,,,Bose,,http://i1.expansys.com/img/b/251730/bose-soundlink-mini-bluetooth-speaker-soft-cover.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,251729,Bose SoundLink Mini II/Mini Soft Cover ,,SG$53,,,,Bose,,http://i2.expansys.com/img/b/251729/bose-soundlink-mini-bluetooth-speaker-soft-cover.jpg,,,,,,,,,
,,,SGD,In Stock Now,,251732,Bose SoundLink Mini II/Mini Travel Bag ,,SG$89,,,,Bose,,http://i1.expansys.com/img/b/251732/bose-soundlink-mini-bluetooth-speaker-travel-bag.jpg,,,,,,,,,
,,,SGD,In Stock Now,,258307,TDK Trek Max A34 Wireless Weatherproof Speaker ,,SG$92,,,,TDK,,http://i2.expansys.com/img/b/258307/tdk-trek-a34-wireless-weatherproof-speaker.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,270576,Bose SoundLink Color Bluetooth Speaker ,,SG$234,,,,Bose,,http://i2.expansys.com/img/b/270576/bose-soundlink-color-bluetooth-speaker.jpg,,,,,,,,,
,,,SGD,In Stock Now,,222867,SanDisk 16GB MicroSDHC ,,SG$17,,,,SanDisk,,http://i2.expansys.com/img/b/222867/sandisk-16gb-microsdhc-card.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,273005,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$118,,,,SJCAM,,http://i2.expansys.com/img/b/273005/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,273007,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$118,,,,SJCAM,,http://i2.expansys.com/img/b/273007/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,273009,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$118,,,,SJCAM,,http://i2.expansys.com/img/b/273009/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,273010,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$107,,,,SJCAM,,http://i1.expansys.com/img/b/273010/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,In Stock Now,,273006,SJCAM SJ4000 WIFI Full HD Sports Camera ,,SG$118,,,,SJCAM,,http://i2.expansys.com/img/b/273006/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,,,,,,,,,
,,,SGD,In Stock Now,,262227,Plantronics Voyager Edge Bluetooth v4.0 Headset with NFC ,,SG$116,,,,Plantronics,,http://i2.expansys.com/img/b/262227/plantronics-voyager-edge-bluetooth-v4-0-headset-with-nfc.jpg,,,,,,,,,
,,,,,,263126,TDK ST260s On-Ear Headphones w/Mic & Track Control ,,,,,,TDK,,http://i2.expansys.com/img/b/263126/tdk-st260s-on-ear-headphones-w-mic-track-control.jpg,,,,,,,,,
,,,SGD,In Stock Now,,251947,Plantronics BackBeat GO 2 Wireless Earbuds + Charging Case ,,SG$95,,,,Plantronics,,http://i2.expansys.com/img/b/251947/plantronics-backbeat-go-2-wireless-earbuds-charging-case.jpg,,,,,,,,,
,,,SGD,In Stock Now,,260126,AT Screen Guard for Nokia Lumia 630/636 ,,SG$2,,,,AT,,http://i2.expansys.com/img/b/260126/at-screen-guard-for-nokia-lumia-630.jpg,,,,,,,,,
,,,SGD,In Stock Now,,232989,Momax Clear Screen Protector for Galaxy S III I9300,,SG$1,,,,Momax,,http://i2.expansys.com/img/b/232989/momax-clear-screen-protector-for-galaxy-s-iii-i9300.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,281172,SJCAM SJ4000 Battery,,SG$16,,,,SJCAM,,http://i1.expansys.com/img/b/281172/sjcam-sj4000-battery.jpg,,,,,,,,,
,,,SGD,In Stock Now,,230819,Momax Clear Screen Protector for Samsung Galaxy Y Duos ,,SG$1,,,,Momax,,http://i2.expansys.com/img/b/230819/momax-clear-screen-protector-for-samsung-galaxy-y-duos.jpg,,,,,,,,,
,,,SGD,In Stock Now,,251948,Plantronics BackBeat GO 2 Wireless Earbuds + Charging Case ,,SG$95,,,,Plantronics,,http://i2.expansys.com/img/b/251948/plantronics-backbeat-go-2-wireless-earbuds-charging-case.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,269717,"Krusell Screen Protector 6"" for Lumia 535, 535 Dual Sim ",,SG$16,,,,Krusell,,http://i2.expansys.com/img/b/269717/krusell-screen-protector-6-for-lumia-535-535-dual-sim.jpg,,,,,,,,,
